qubit_id,tx_state,tx_basis,decoy_level,rx_state,rx_basis,matching_basis
225,0,0,2,0,0,True
226,1,0,0,1,0,True
227,1,0,2,1,0,True
228,1,0,0,1,1,False
229,1,0,2,1,0,True
230,1,0,0,1,0,True
231,1,0,2,0,1,False
232,0,0,0,0,0,True
233,0,0,0,1,1,False
234,0,0,0,0,0,True
235,0,0,0,0,1,False
236,1,0,0,1,0,True
237,0,1,0,1,0,False
238,1,0,0,1,0,True
239,1,0,0,1,0,True
240,1,0,0,1,0,True
241,1,0,2,1,0,True
242,1,0,2,0,1,False
243,0,0,0,1,1,False
244,1,0,0,1,0,True
245,0,0,0,0,1,False
246,0,0,2,0,0,True
247,0,1,0,1,0,False
248,0,0,0,0,1,False
249,0,0,2,0,1,False
250,1,0,0,0,1,False
251,1,0,0,1,0,True
252,0,1,0,0,0,False
253,1,0,0,1,0,True
254,1,0,0,1,1,False
255,1,0,2,0,1,False
256,1,0,0,0,1,False
257,0,0,0,0,1,False
258,1,0,0,1,0,True
259,1,0,0,1,0,True
260,1,0,0,0,1,False
261,1,0,0,1,1,False
262,0,0,2,0,1,False
263,0,1,0,0,1,True
264,1,0,0,1,0,True
265,0,0,0,0,0,True
266,1,0,0,0,1,False
267,0,0,0,0,0,True
268,0,1,2,0,0,False
269,1,0,0,1,0,True
270,1,0,0,1,1,False
271,1,0,0,1,1,False
272,1,0,2,1,1,False
273,1,0,0,1,0,True
274,0,0,0,0,0,True
275,1,0,0,1,1,False
276,1,0,0,1,0,True
277,0,0,2,1,1,False
278,0,1,0,0,1,True
279,1,0,0,1,0,True
280,1,0,2,1,0,True
281,1,0,0,1,1,False
282,0,0,2,0,0,True
283,1,0,0,1,1,False
284,1,0,0,1,0,True
285,0,0,0,0,1,False
286,0,1,0,0,1,True
287,1,0,0,1,0,True
288,0,0,2,0,1,False
289,0,0,0,1,1,False
290,0,0,0,0,0,True
291,0,0,2,1,1,False
292,0,0,0,0,0,True
293,0,0,0,0,0,True
294,0,0,0,0,0,True
295,0,0,2,0,0,True
296,1,0,0,0,1,False
297,1,0,0,0,1,False
298,0,0,0,1,1,False
299,1,0,0,0,1,False
300,1,0,0,0,1,False
301,0,0,0,0,0,True
302,0,0,2,0,0,True
303,0,0,0,0,0,True
304,1,0,0,1,1,False
305,1,0,0,1,0,True
306,1,0,2,1,0,True
307,0,1,2,1,0,False
308,1,0,0,0,1,False
309,0,0,0,0,0,True
310,0,0,0,0,1,False
311,0,0,0,0,0,True
312,1,0,2,1,0,True
313,0,0,0,0,1,False
314,0,0,0,0,0,True
315,1,0,2,1,0,True
316,1,0,2,0,1,False
317,0,0,0,1,1,False
318,1,0,0,1,0,True
319,1,0,2,1,0,True
320,0,1,2,1,0,False
321,1,0,0,1,0,True
322,1,0,0,1,0,True
323,1,0,0,1,1,False
324,1,0,0,1,0,True
325,1,0,0,1,1,False
326,0,0,0,0,1,False
327,1,0,0,1,0,True
328,0,0,0,0,1,False
329,1,0,0,1,0,True
330,1,0,0,0,1,False
331,0,0,2,0,0,True
332,1,0,0,1,0,True
333,0,0,0,0,1,False
334,1,0,0,1,0,True
335,0,0,0,0,1,False
336,1,0,2,1,1,False
337,0,0,2,1,1,False
338,0,0,2,0,0,True
339,1,0,0,1,0,True
340,0,0,0,0,0,True
341,0,0,0,1,1,False
342,0,0,0,0,1,False
343,1,0,0,0,1,False
344,1,0,0,1,0,True
345,1,0,0,1,1,False
346,0,0,0,0,0,True
347,1,0,0,1,0,True
348,0,0,0,0,0,True
349,0,0,2,1,1,False
350,0,0,0,1,1,False
351,0,0,0,1,1,False
352,1,0,0,1,0,True
353,0,0,2,0,1,False
354,1,0,0,1,0,True
355,0,0,0,0,1,False
356,0,1,0,1,0,False
357,0,1,2,0,1,True
358,1,0,0,1,0,True
359,1,0,0,1,0,True
360,0,0,0,0,0,True
361,0,1,0,0,1,True
362,1,0,2,0,1,False
363,0,0,2,0,0,True
364,1,0,0,1,0,True
365,0,0,2,1,1,False
366,1,0,0,1,0,True
367,1,0,2,1,0,True
368,1,0,0,1,1,False
369,1,0,0,1,0,True
370,0,1,0,1,0,False
371,0,0,0,0,0,True
372,0,0,0,0,0,True
373,1,0,2,1,0,True
374,0,0,0,0,1,False
375,0,0,2,0,0,True
376,0,1,0,0,1,True
377,1,0,0,0,1,False
378,1,0,2,1,0,True
379,0,0,2,0,0,True
380,0,0,2,0,0,True
381,0,1,0,0,0,False
382,1,0,0,1,0,True
383,0,0,2,0,0,True
384,1,0,0,1,0,True
385,1,0,2,1,0,True
386,1,0,0,1,0,True
387,1,0,0,1,0,True
388,0,0,0,1,1,False
389,0,0,0,1,1,False
390,0,0,2,0,0,True
391,1,0,0,1,1,False
392,1,0,0,0,1,False
393,0,0,0,1,1,False
394,1,0,2,1,0,True
395,1,0,0,1,0,True
396,1,0,0,1,0,True
397,0,0,0,1,1,False
398,1,0,0,1,0,True
399,1,0,0,1,1,False
400,0,1,0,0,0,False
401,1,0,0,1,1,False
402,0,0,2,0,0,True
403,1,0,0,1,0,True
404,0,0,0,1,1,False
405,1,0,2,1,0,True
406,0,0,0,0,0,True
407,1,0,0,1,0,True
408,0,0,0,0,0,True
409,0,0,0,1,1,False
410,0,0,0,0,0,True
411,0,0,2,0,0,True
412,0,0,0,0,0,True
413,1,0,0,1,0,True
414,1,0,0,0,1,False
415,0,1,0,1,0,False
416,1,0,0,1,0,True
417,0,0,2,0,0,True
418,0,0,0,0,0,True
419,1,0,0,1,0,True
420,0,0,0,0,0,True
421,1,0,0,1,1,False
422,0,0,0,0,0,True
423,1,0,0,0,1,False
424,0,0,0,0,0,True
425,0,0,0,0,0,True
426,0,1,2,0,0,False
427,1,0,0,1,1,False
428,1,0,0,1,1,False
429,1,0,0,1,1,False
430,0,0,0,0,0,True
431,1,0,0,1,0,True
432,1,0,0,0,1,False
433,0,0,0,0,1,False
434,1,0,2,1,0,True
435,1,0,0,1,0,True
436,0,0,2,0,0,True
437,1,0,2,0,1,False
438,0,0,2,0,0,True
439,1,0,0,1,1,False
440,1,0,0,0,1,False
441,0,1,0,0,1,True
442,1,0,0,0,1,False
443,1,0,0,1,0,True
444,1,0,0,1,0,True
445,0,0,0,0,0,True
446,1,0,2,1,1,False
447,1,0,2,1,0,True
448,1,0,2,1,0,True
449,1,0,0,1,0,True
450,1,0,2,1,0,True
451,1,0,2,0,1,False
452,1,0,0,1,0,True
453,0,0,0,0,0,True
454,1,0,0,1,0,True
455,1,0,0,1,0,True
456,1,0,0,1,0,True
457,1,0,0,1,0,True
458,0,0,0,1,1,False
459,0,0,0,0,1,False
460,1,0,0,1,0,True
461,0,0,0,0,1,False
462,1,0,0,1,1,False
463,0,1,0,0,1,True
464,0,0,0,1,1,False
465,0,0,0,0,0,True
466,0,0,0,0,0,True
467,0,1,0,0,0,False
468,1,0,0,1,0,True
469,1,0,0,1,1,False
470,1,0,0,1,1,False
471,1,0,2,1,0,True
472,0,0,0,0,0,True
473,0,0,0,0,0,True
474,0,1,0,0,1,True
475,0,0,0,0,1,False
476,0,0,0,0,1,False
477,0,0,2,1,1,False
478,0,0,0,0,0,True
479,1,0,0,1,1,False
480,1,0,0,0,1,False
481,1,0,0,1,1,False
482,1,0,0,0,1,False
483,1,0,0,1,0,True
484,0,0,0,0,0,True
485,0,0,0,0,0,True
486,0,0,0,0,0,True
487,1,0,0,1,0,True
488,0,1,0,0,0,False
489,0,0,0,0,1,False
490,1,0,0,1,1,False
491,1,0,0,1,0,True
492,1,0,0,0,1,False
493,1,0,0,1,1,False
494,0,0,0,1,1,False
495,1,0,0,1,1,False
496,1,0,0,1,0,True
497,1,0,0,1,0,True
498,1,0,2,1,0,True
